On,fid,density,apd,acpd,coverage,aog,mms,wpd
real,82.57067552342184,0.976,23.693795741817432,20.47273705466553,1.0,1.0,12.425710856609108,23.55750323889817
generated,266.93095760939536,1.454,6.176138842797935,5.759715611578558,0.3,0.82,13.555039443973582,7.116893600363357
