Model,fid,density,apd,acpd,coverage,aog,mms,wpd
Real,0.037215355428723,1.00063462184874,6.88234581230809,0.886137392759554,0.973637583892618,1,0.244183049779596,1.05866830236393
Model1,3.73067978186427,0.849561041141897,6.33018019383461,0.18608559127976,0.085044500419815,0.863287993282956,0.719142583321262,0.487271216826776
Model2,17.0383227737759,0.066529638958858,4.93067918144138,0.662684083393887,0.006549118387909,0.281403862300588,2.63575925433987,0.037046545090404
Model3,11.4355120367972,0.131398824517212,5.23976984856553,3.9988998547366,0.142488664987406,0.296181360201511,2.54218020997542,0.686624675162653
